model_name,runtime_seconds,n,event_rate,roc_auc,gini,pr_auc,log_loss,brier_score,ks,...,lift_at_top_5pct,precision_at_top_10pct,recall_at_top_10pct,lift_at_top_10pct,precision_at_top_20pct,recall_at_top_20pct,lift_at_top_20pct,precision_at_top_30pct,recall_at_top_30pct,lift_at_top_30pct
Weighted ensemble leak-free 5Fold OOF,0.0,307511,0.080729,0.797816,0.595633,0.295544,0.238387,0.065935,0.451683,...,4.876393,0.313118,0.387875,3.878638,0.235615,0.583726,2.918592,0.191905,0.713152,2.377156
LightGBM leak-free 5Fold OOF,0.0,307511,0.080729,0.797467,0.594934,0.295206,0.233412,0.065122,0.450094,...,4.868337,0.313345,0.388157,3.881457,0.235745,0.584048,2.920204,0.191591,0.711984,2.373262
XGBoost leak-free 5Fold OOF,0.0,307511,0.080729,0.795353,0.590706,0.291457,0.510873,0.169413,0.447933,...,4.80711,0.309053,0.38284,3.828287,0.234363,0.580624,2.903084,0.191244,0.710695,2.368965
CatBoost leak-free 5Fold OOF,0.0,307511,0.080729,0.794274,0.588548,0.289671,0.495044,0.162983,0.446406,...,4.784553,0.310126,0.384169,3.841579,0.232785,0.576717,2.883548,0.190517,0.707996,2.359969
