file,rows,note
Step04_final_documentation_FULL_numeric_descriptive_252_features.csv,252,supporting/selected
Step04_FULL_descriptive_all_numeric_features_209_features.csv,209,supporting/selected
Step04_FULL_descriptive_all_numeric_features_209_features_WITH_QUARTILES_NORMALIZED.csv,209,supporting/selected
Step04_RECOMMENDED_consolidated_descriptive_209_features_with_excel_stats.csv,209,recommended
Step04_SELECTED_descriptive_statistics_for_PPT_slides_15_18_12_features.csv,12,supporting/selected
Step04_SELECTED_descriptive_statistics_for_PPT_slides_15_18_WITH_QUARTILES_NORMALIZED.csv,12,supporting/selected
