comparison_type,model_spec,algorithm,model_name,algorithm_family,description,feature_set,feature_count_before_encoding,class_weight,preprocessing,hyperparameters_summary,n_rows_available,n_rows_used,train_rows,test_rows,status,error,encoded_feature_count,train_event_rate,test_event_rate,threshold,roc_auc,pr_auc,log_loss,null_log_loss,test_log_likelihood,test_null_log_likelihood,test_lr_chi2_vs_null,test_lr_df_approx,test_lr_p_value_approx,test_aic_approx,test_bic_approx,brier_score,pseudo_r2_vs_null_logloss,accuracy_at_0_5,balanced_accuracy_at_0_5,recall_at_0_5,precision_at_0_5,f1_at_0_5,specificity_at_0_5,sensitivity_at_0_5,npv_at_0_5,fpr_at_0_5,fnr_at_0_5,mcc_at_0_5,predicted_positive_rate_at_0_5,tn_at_0_5,fp_at_0_5,fn_at_0_5,tp_at_0_5,confusion_matrix_at_0_5,top_10pct_count,recall_at_top_10pct_score,precision_at_top_10pct_score,lift_at_top_10pct_score,top_20pct_count,recall_at_top_20pct_score,precision_at_top_20pct_score,lift_at_top_20pct_score,runtime_seconds
Algorithm comparison,diagnostic_linear_probability_model_ols,linear_probability_model_ols,Linear Probability Model â€” LPM,Diagnostic / Linear probability,"OLS on binary TARGET. Predictions are clipped to [0,1] for probability metrics.",06_full_plus_selected_interactions,20,,one_hot_min_frequency_50,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False, 'tol': 1e-06}",307511,307511,230633,76878,ok,,157,0.08072999093798372,0.08072530502874685,0.5,0.688900448927258,0.17022128194423988,0.27247726092858104,0.2805372544923617,-20947.506865667452,-21567.143050863786,1239.2723703926677,157,1.724530050359884e-167,42211.013731334904,43672.50978587545,0.07139390352510806,0.02873056406845287,0.9192616873487864,0.5002134018281548,0.00048340315823396714,0.42857142857142855,0.0009657170449058426,0.9999434004980756,0.00048340315823396714,0.9193063704127694,5.659950192438306e-05,0.9995165968417661,0.012185052997643721,9.105335726735867e-05,70668,4,6203,3,"TN=70668, FP=4, FN=6203, TP=3",7688,0.2553980019336126,0.20616545265348596,2.5539135786488387,15376,0.42700612310667097,0.1723465140478668,2.1349750736338873,8.09
Algorithm comparison,diagnostic_binary_logit_approx_unpenalized,binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,Diagnostic / Logit,Near-unpenalized Logit baseline using very large C.,06_full_plus_selected_interactions,20,,one_hot_min_frequency_50,"{'C': 1000000.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1200, 'n_jobs': -1, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",307511,307511,230633,76878,ok,,157,0.08072999093798372,0.08072530502874685,0.5,0.6886607617559701,0.17131868310336099,0.26306935569338585,0.2805372544923617,-20224.24592699612,-21567.143050863786,2685.7942477353354,157,0.0,40764.49185399224,42225.987908532785,0.07120179193146724,0.06226587919876958,0.9192746949712531,0.5005879380423875,0.0012890750886239124,0.5,0.0025715204114432656,0.9998868009961512,0.0012890750886239124,0.9193619734068851,0.00011319900384876613,0.9987109249113761,0.022206253970295554,0.0002081219594682484,70664,8,6198,8,"TN=70664, FP=8, FN=6198, TP=8",7688,0.2565259426361586,0.20707596253902186,2.565192692245395,15376,0.426361585562359,0.17208636836628513,2.131752469749157,5.71
Algorithm comparison,diagnostic_ridge_logit_l2,ridge_logit_l2,Ridge Logistic Regression,Diagnostic / Regularized Logit,L2-regularized Logit for coefficient stability.,06_full_plus_selected_interactions,20,,one_hot_min_frequency_50,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1200, 'n_jobs': -1, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",307511,307511,230633,76878,ok,,157,0.08072999093798372,0.08072530502874685,0.5,0.6886589514109601,0.17130475705788462,0.26307044245699823,0.2805372544923617,-20224.32947520911,-21567.143050863786,2685.6271513093525,157,0.0,40764.65895041822,42226.15500495877,0.07120229252718152,0.06226200533319559,0.91928770259372,0.5005950129801281,0.0012890750886239124,0.5333333333333333,0.002571933772705353,0.9999009508716323,0.0012890750886239124,0.9193630225205885,9.904912836767037e-05,0.9987109249113761,0.02321035147470983,0.00019511433700148287,70665,7,6198,8,"TN=70665, FP=7, FN=6198, TP=8",7688,0.2565259426361586,0.20707596253902186,2.565192692245395,15376,0.426361585562359,0.17208636836628513,2.131752469749157,5.66
Algorithm comparison,diagnostic_lasso_logit_l1,lasso_logit_l1,Lasso Logistic Regression,Diagnostic / Regularized Logit,L1-regularized Logit for sparse variable selection sensitivity.,06_full_plus_selected_interactions,20,,one_hot_min_frequency_50,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1200, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",307511,307511,230633,76878,ok,,157,0.08072999093798372,0.08072530502874685,0.5,0.6886441061258719,0.1712840100461813,0.2631000085819162,0.2805372544923617,-20226.602459760554,-21567.143050863786,2681.0811822064643,157,0.0,40769.20491952111,42230.700974061656,0.07120563152731939,0.06215661425074759,0.9192356721038528,0.5007136977397628,0.0016113438607798904,0.43478260869565216,0.0032107882485150102,0.9998160516187458,0.0016113438607798904,0.9193806518769111,0.00018394838125424497,0.9983886561392201,0.022484017371353814,0.0002991753167356071,70659,13,6196,10,"TN=70659, FP=13, FN=6196, TP=10",7688,0.25797615211086045,0.20824661810613943,2.5796944097266814,15376,0.4253947792458911,0.1716961498439126,2.1269185639220614,100.92
Algorithm comparison,diagnostic_elastic_net_logit,elastic_net_logit,Elastic Net Logistic Regression,Diagnostic / Regularized Logit,Mixed L1/L2 regularized Logit.,06_full_plus_selected_interactions,20,,one_hot_min_frequency_50,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.5, 'max_iter': 1200, 'n_jobs': -1, 'penalty': 'elasticnet', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",307511,307511,230633,76878,ok,,157,0.08072999093798372,0.08072530502874685,0.5,0.6886256059502912,0.17141228652169974,0.26309577063959705,0.2805372544923617,-20226.27665523094,-21567.143050863786,2681.732791265691,157,0.0,40768.55331046188,42230.04936500243,0.07120298285249843,0.06217172077314803,0.9192226644813861,0.5006331305467239,0.0014502094747019013,0.4090909090909091,0.002890173410404624,0.9998160516187458,0.0014502094747019013,0.9193686894972416,0.00018394838125424497,0.9985497905252981,0.02039400918067877,0.00028616769426884157,70659,13,6197,9,"TN=70659, FP=13, FN=6197, TP=9",7688,0.2576538833387045,0.20798647242455776,2.5764718058419516,15376,0.42555591363196904,0.171761186264308,2.127724214893244,287.4
Algorithm comparison,diagnostic_weighted_logit_rare_event_proxy,weighted_logit_rare_event_proxy,Rare Events Logistic Regression proxy,Diagnostic / Rare-event sensitivity,"Weighted Logit proxy, not exact King-Zeng rare-events Logit.",06_full_plus_selected_interactions,20,,one_hot_min_frequency_50,"{'C': 1.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1200, 'n_jobs': -1, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",307511,307511,230633,76878,ok,,157,0.08072999093798372,0.08072530502874685,0.5,0.688523125374518,0.17058949627199488,0.6346823215502383,0.2805372544923617,-48793.10751613922,-21567.143050863786,-54451.92893055087,157,1.0,97902.21503227844,99363.71108681899,0.2215460918491419,-1.2623815959798628,0.6476495226202554,0.6387339612552241,0.6281018369320013,0.13592300718320663,0.22348354546496962,0.6493660855784469,0.6281018369320013,0.9521161825726141,0.3506339144215531,0.3718981630679987,0.15629475704914325,0.37303259710190173,45892,24780,2308,3898,"TN=45892, FP=24780, FN=2308, TP=3898",7688,0.25491459877537864,0.20577523413111343,2.549079672821743,15376,0.42410570415726717,0.17117585848074923,2.1204733561526004,5.82
Algorithm comparison,diagnostic_cloglog_glm,cloglog_glm,Complementary Log-Log â€” Cloglog,Diagnostic / Cloglog,GLM Binomial with complementary log-log link.,06_full_plus_selected_interactions,20,,one_hot_dense_min_frequency_50,statsmodels_cloglog,307511,307511,230633,76878,ok,,158,0.08072999093798372,0.08072530502874685,0.5,0.5777508593712322,0.09901830505750159,3.626127484301889,0.2805372544923617,-278769.42873816064,-21567.143050863786,-514404.5713745937,158,1.0,557856.8574763213,559327.6035058906,0.2624672811997825,-11.92565399509397,0.7375321938656052,0.5777508593712323,0.3872059297454077,0.127968899776334,0.19236311239193082,0.7682957889970569,0.3872059297454077,0.9345438898450946,0.23170421100294317,0.6127940702545923,0.09859435191489548,0.24425713468092303,54297,16375,3803,2403,"TN=54297, FP=16375, FN=3803, TP=2403",7688,0.16210119239445697,0.13085327783558792,1.620969754019389,15376,0.31582339671285853,0.12747138397502603,1.579075903517894,396.83
Algorithm comparison,diagnostic_probit_glm,probit_glm,Probit Model,Diagnostic / Probit,GLM Binomial with Probit link.,06_full_plus_selected_interactions,20,,one_hot_dense_min_frequency_50,statsmodels_probit,307511,307511,230633,76878,ok,,158,0.08072999093798372,0.08072530502874685,0.5,0.5336164560926856,0.09141553491818097,1.6049906628509523,0.2805372544923617,-123388.4721786555,-21567.143050863786,-203642.65825558343,158,1.0,247094.944357311,248565.69038688028,0.11618059962638042,-4.721131996373237,0.8837899008819168,0.533613993658667,0.11601675797615212,0.1727447216890595,0.13880855986119145,0.9512112293411819,0.11601675797615212,0.9245495805253747,0.048788770658818204,0.8839832420238479,0.08087583146602476,0.054215770441478704,67224,3448,5486,720,"TN=67224, FP=3448, FN=5486, TP=720",7688,0.1590396390589752,0.12838189386056192,1.5903550171144505,15376,0.2524975829842088,0.10191207075962538,1.2624550718431324,403.12
Algorithm comparison,diagnostic_null_baseline,null_baseline,Null baseline,Baseline,Predicts train default rate only.,06_full_plus_selected_interactions,20,,one_hot_min_frequency_50,None,307511,307511,230633,76878,ok,,0,0.08072999093798372,0.08072530502874685,0.5,0.5,0.08072530502874685,0.2805372544923617,0.2805372544923617,-21567.143050863786,-21567.143050863786,0.0,1,1.0,43136.28610172757,43145.53607675631,0.07420873017872039,0.0,0.9192746949712531,0.5,0.0,0.0,0.0,1.0,0.0,0.9192746949712531,0.0,1.0,0.0,0.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0",7688,0.09748630357718337,0.07869406867845993,0.9748376751309447,15376,0.1985175636480825,0.08012486992715921,0.9925619964969619,0.08
