model_spec,description,variable,level,reference_group,n_rows_used,average_marginal_effect,average_marginal_effect_pp,median_marginal_effect,min_marginal_effect,max_marginal_effect,direction
03_glm_credit_history_only,Research GLM: credit history only,DIAG_BUREAU_DEBT_CREDIT_GROUP,25%-50%,No bureau debt,307511,0.01909729823005183,1.9097298230051831,0.016946251302227926,0.01463065625238364,0.03507244295190236,Higher predicted default probability
03_glm_credit_history_only,Research GLM: credit history only,DIAG_BUREAU_DEBT_CREDIT_GROUP,50%-100%,No bureau debt,307511,0.05374094102506774,5.374094102506774,0.048013071318224014,0.0416514527554031,0.09547994188573582,Higher predicted default probability
03_glm_credit_history_only,Research GLM: credit history only,DIAG_BUREAU_DEBT_CREDIT_GROUP,<=25%,No bureau debt,307511,0.003549117350654403,0.3549117350654403,0.0031395359213749613,0.002704793995281604,0.0066174685756855145,Higher predicted default probability
03_glm_credit_history_only,Research GLM: credit history only,DIAG_BUREAU_DEBT_CREDIT_GROUP,>100%,No bureau debt,307511,0.12590906836702162,12.590906836702162,0.11401638785361526,0.09992898001436015,0.20932906651678235,Higher predicted default probability
03_glm_credit_history_only,Research GLM: credit history only,DIAG_BUREAU_DEBT_CREDIT_GROUP,No bureau history,No bureau debt,307511,0.04489234216061484,4.489234216061484,0.04003883253568415,0.03469102215175144,0.08043021150020506,Higher predicted default probability
03_glm_credit_history_only,Research GLM: credit history only,DIAG_PREVIOUS_REFUSAL_GROUP,25%-50% refusal,0% refusal,307511,0.04081915563866067,4.081915563866067,0.03981061452312874,0.030769441698901008,0.08155883373501052,Higher predicted default probability
03_glm_credit_history_only,Research GLM: credit history only,DIAG_PREVIOUS_REFUSAL_GROUP,<=25% refusal,0% refusal,307511,0.011171339623448536,1.1171339623448537,0.010856886730360588,0.008326139344773206,0.023211616974716354,Higher predicted default probability
03_glm_credit_history_only,Research GLM: credit history only,DIAG_PREVIOUS_REFUSAL_GROUP,>50% refusal,0% refusal,307511,0.08485618351677576,8.485618351677576,0.08316737088017333,0.0650411792304989,0.16035385789366596,Higher predicted default probability
03_glm_credit_history_only,Research GLM: credit history only,DIAG_PREVIOUS_REFUSAL_GROUP,No previous application,0% refusal,307511,-0.010066733987738592,-1.0066733987738592,-0.009757542677024,-0.021529355466434835,-0.007441947627179715,Lower predicted default probability
04_glm_payment_behavior_only,Research GLM: payment behavior only,DIAG_LATE_PAYMENT_GROUP,Late 10%-30%,No late payment,307511,0.02777024107236185,2.777024107236185,0.02721527072492501,0.019352260575629755,0.06785001987633227,Higher predicted default probability
