calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap,observed_non_defaults,expected_non_defaults,hl_component_default,hl_component_non_default,hl_component_total
1,7688,634,0.08246618106139438,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,-0.0017361901234106553,0.0017361901234106553,0.0001736235290821967,7054,7067.347829668781,0.2870602333855179,0.025209535622235036,0.31226976900775294
2,7688,613,0.07973465140478668,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,0.00099533953319704,0.00099533953319704,9.953654271987881e-05,7075,7067.347829668781,0.0943454539869607,0.008285386850802115,0.10263084083776282
3,7688,637,0.08285639958376691,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,-0.002126408645783187,0.002126408645783187,0.00021264639648249358,7051,7067.347829668781,0.430597922079978,0.03781496840406085,0.46841289048403884
4,7687,596,0.07753349811369845,620.5714403402809,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,0.003196492824285274,0.003196492824285274,0.0003196160194110266,7091,7066.428559659719,0.9729027814492245,0.08544000343293164,1.058342784882156
5,7688,642,0.08350676378772112,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,-0.0027767728497374022,0.0027767728497374022,0.0002776845088163213,7046,7067.347829668781,0.7342757398614324,0.06448385484213148,0.7987595947035638
6,7688,604,0.0785639958376691,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,0.0021659951003146216,0.0021659951003146216,0.00021660514492076813,7084,7067.347829668781,0.4467796778854345,0.03923604489591003,0.48601572278134453
7,7687,628,0.08169637049564199,620.5714403402809,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,-0.0009663795576582701,0.0009663795576582701,9.662789952547052e-05,7059,7066.428559659719,0.08892368393179355,0.007809248781347214,0.09673293271314076
8,7688,620,0.08064516129032258,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,8.482964766114154e-05,8.482964766114154e-05,8.483185452520307e-06,7068,7067.347829668781,0.0006852890576285393,6.018186046212925e-05,0.0007454709180906685
9,7688,627,0.08155567117585848,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,-0.0008256802378747569,0.0008256802378747569,8.25701718148382e-05,7061,7067.347829668781,0.0649235488571476,0.005701564784273104,0.07062511364142071
10,7688,605,0.07869406867845993,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,0.002035922259523787,0.002035922259523787,0.00020359752245400342,7083,7067.347829668781,0.39473065234968874,0.03466511653055919,0.42939576888024794
1,7688,290,0.037721123829344436,263.45710937200846,0.03426861464256093,0.013577059488013464,0.04188239017011385,spec::01_profile_only,01_profile_only,-0.0034525091867835048,0.0034525091867835048,0.00034525990046556344,7398,7424.542890627991,2.6741546074281066,0.09489136951161449,2.7690459769397213
2,7688,357,0.04643600416233091,368.73251794688935,0.04796208610131235,0.04188239017011385,0.05001431660462414,spec::01_profile_only,01_profile_only,0.0015260819389814398,0.0015260819389814398,0.0001526121640376871,7331,7319.267482053111,0.3733111962572666,0.01880679695223271,0.3921179932094993
