comparison_type,model_spec,algorithm,algorithm_family,description,feature_set,feature_count_before_encoding,class_weight,preprocessing,hyperparameters_summary,n_rows_available,n_rows_used,train_rows,test_rows,status,error,encoded_feature_count,train_event_rate,test_event_rate,threshold,roc_auc,pr_auc,log_loss,null_log_loss,test_log_likelihood,test_null_log_likelihood,test_lr_chi2_vs_null,test_lr_df_approx,test_lr_p_value_approx,test_aic_approx,test_bic_approx,brier_score,pseudo_r2_vs_null_logloss,accuracy_at_0_5,balanced_accuracy_at_0_5,recall_at_0_5,precision_at_0_5,f1_at_0_5,specificity_at_0_5,sensitivity_at_0_5,npv_at_0_5,fpr_at_0_5,fnr_at_0_5,mcc_at_0_5,predicted_positive_rate_at_0_5,tn_at_0_5,fp_at_0_5,fn_at_0_5,tp_at_0_5,confusion_matrix_at_0_5,top_10pct_count,recall_at_top_10pct_score,precision_at_top_10pct_score,lift_at_top_10pct_score,top_20pct_count,recall_at_top_20pct_score,precision_at_top_20pct_score,lift_at_top_20pct_score,runtime_seconds
Specification comparison,06_full_plus_selected_interactions,Binary Logistic Regression / Logit,Diagnostic / Logit,Full model plus selected business interactions,06_full_plus_selected_interactions,20,None,one_hot_min_frequency_50,"Near-unpenalized LogisticRegression(C=1e6, solver='lbfgs')",307511,307511,230633,76878,ok,,157,0.08072999093798372,0.08072530502874685,0.5,0.6886607617559701,0.17131868310336099,0.26306935569338585,0.2805372544923617,-20224.24592699612,-21567.143050863786,2685.7942477353354,157,0.0,40764.49185399224,42225.987908532785,0.07120179193146724,0.06226587919876958,0.9192746949712531,0.5005879380423875,0.0012890750886239124,0.5,0.0025715204114432656,0.9998868009961512,0.0012890750886239124,0.9193619734068851,0.00011319900384876613,0.9987109249113761,0.022206253970295554,0.0002081219594682484,70664,8,6198,8,"TN=70664, FP=8, FN=6198, TP=8",7688,0.2565259426361586,0.20707596253902186,2.565192692245395,15376,0.426361585562359,0.17208636836628513,2.131752469749157,5.91
Specification comparison,05_full_controlled_main_effects,Binary Logistic Regression / Logit,Diagnostic / Logit,"All selected diagnostic feature groups, main effects only",05_full_controlled_main_effects,17,None,one_hot_min_frequency_50,"Near-unpenalized LogisticRegression(C=1e6, solver='lbfgs')",307511,307511,230633,76878,ok,,89,0.08072999093798372,0.08072530502874685,0.5,0.6883053755262951,0.1709694775373598,0.26310683090379855,0.2805372544923617,-20227.126946222226,-21567.143050863786,2680.0322092831193,89,0.0,40634.25389244445,41466.75164503084,0.0712147363902686,0.062132295477489774,0.9192746949712531,0.5005144457870891,0.0011279407025459234,0.5,0.0022508038585209,0.9999009508716323,0.0011279407025459234,0.9193510616153205,9.904912836767037e-05,0.998872059297454,0.020771778304196988,0.00018210671453471733,70665,7,6199,7,"TN=70665, FP=7, FN=6199, TP=7",7688,0.2570093457943925,0.2074661810613944,2.5700265980724906,15376,0.4253947792458911,0.1716961498439126,2.1269185639220614,5.06
Specification comparison,07_full_balanced_sensitivity,Binary Logistic Regression / Logit,Diagnostic / Logit,Sensitivity model with class_weight='balanced',07_full_balanced_sensitivity,17,balanced,one_hot_min_frequency_50,"Near-unpenalized LogisticRegression(C=1e6, solver='lbfgs')",307511,307511,230633,76878,ok,,89,0.08072999093798372,0.08072530502874685,0.5,0.6882470340803057,0.17060105853676166,0.634899828460244,0.2805372544923617,-48809.82901236664,-21567.143050863786,-54485.3719230057,89,1.0,97799.65802473327,98632.15577731965,0.22164018279183156,-1.263156918709813,0.6471422253440516,0.6388989922151334,0.6290686432484692,0.1358905635420655,0.22350078717618435,0.6487293411817976,0.6290686432484692,0.9521900766371056,0.3512706588182024,0.37093135675153077,0.15642450034793567,0.37369598584770675,45847,24825,2302,3904,"TN=45847, FP=24825, FN=2302, TP=3904",7688,0.2544311956171447,0.2053850156087409,2.5442457669946474,15376,0.42281662906864326,0.17065556711758584,2.1140281483831393,5.3
Specification comparison,01_profile_only,Binary Logistic Regression / Logit,Diagnostic / Logit,Customer profile variables only,01_profile_only,6,None,one_hot_min_frequency_50,"Near-unpenalized LogisticRegression(C=1e6, solver='lbfgs')",307511,307511,230633,76878,ok,,31,0.08072999093798372,0.08072530502874685,0.5,0.6330583689066889,0.12583204866497777,0.2723777473163176,0.2805372544923617,-20939.856458183862,-21567.143050863786,1254.5731853598481,31,4.1826912660925026e-244,41943.712916367724,42239.71211728733,0.07293598654339833,0.029085289192014585,0.9192746949712531,0.5,0.0,0.0,0.0,1.0,0.0,0.9192746949712531,0.0,1.0,0.0,0.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0",7688,0.19384466645182083,0.15647762747138397,1.938396236665333,15376,0.35062842410570416,0.14151925078043703,1.7530965132933352,1.88
Specification comparison,03_credit_history_only,Binary Logistic Regression / Logit,Diagnostic / Logit,External credit and previous application history only,03_credit_history_only,4,None,one_hot_min_frequency_50,"Near-unpenalized LogisticRegression(C=1e6, solver='lbfgs')",307511,307511,230633,76878,ok,,20,0.08072999093798372,0.08072530502874685,0.5,0.6153415209477255,0.12971157115962392,0.27349906113658345,0.2805372544923617,-21026.06082205826,-21567.143050863786,1082.1644576110484,20,1.1424861302915456e-216,42094.12164411652,42288.37111972002,0.07297830680659781,0.025088266328527453,0.9192616873487864,0.5000664173175579,0.00016113438607798906,0.3333333333333333,0.0003221130616846513,0.9999717002490378,0.00016113438607798906,0.9192845528455285,2.829975096219153e-05,0.999838865613922,0.005792789028981909,3.9022867400296575e-05,70670,2,6205,1,"TN=70670, FP=2, FN=6205, TP=1",7688,0.20270705768611022,0.16363163371488032,2.0270178434954187,15376,0.3288752819851756,0.13273933402705515,1.6443336321836843,1.5
Specification comparison,04_payment_behavior_only,Binary Logistic Regression / Logit,Diagnostic / Logit,"Installment, credit-card and POS/CASH payment behavior only",04_payment_behavior_only,5,None,one_hot_min_frequency_50,"Near-unpenalized LogisticRegression(C=1e6, solver='lbfgs')",307511,307511,230633,76878,ok,,26,0.08072999093798372,0.08072530502874685,0.5,0.5886098639288145,0.11540236771326134,0.2761106471525639,0.2805372544923617,-21226.834331794806,-21567.143050863786,680.6174381379606,26,8.384626681629766e-127,42507.66866358961,42757.417989365524,0.07344974122921372,0.01577903565003469,0.9192746949712531,0.5,0.0,0.0,0.0,1.0,0.0,0.9192746949712531,0.0,1.0,0.0,0.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0",7688,0.18627135030615533,0.15036420395421435,1.8626650453741687,15376,0.31243957460522076,0.12610561914672216,1.5621572331230593,1.77
Specification comparison,02_affordability_only,Binary Logistic Regression / Logit,Diagnostic / Logit,Loan affordability burden variables only,02_affordability_only,2,None,one_hot_min_frequency_50,"Near-unpenalized LogisticRegression(C=1e6, solver='lbfgs')",307511,307511,230633,76878,ok,,12,0.08072999093798372,0.08072530502874685,0.5,0.5373624942643527,0.08840365004953087,0.2800042888063794,0.2805372544923617,-21526.169714856835,-21567.143050863786,81.94667201390257,12,1.7529672171673975e-12,43078.33942971367,43198.58910508726,0.07413342840353888,0.0018998035998702978,0.9192746949712531,0.5,0.0,0.0,0.0,1.0,0.0,0.9192746949712531,0.0,1.0,0.0,0.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0",7688,0.11247180148243635,0.09079084287200832,1.124688755770908,15376,0.2339671285852401,0.09443288241415193,1.1698052101571337,0.59
Specification comparison,00_null_baseline,Null baseline,Baseline,Null model using base default rate only,00_null_baseline,0,None,none,"Near-unpenalized LogisticRegression(C=1e6, solver='lbfgs')",307511,307511,230633,76878,ok,,0,0.08072999093798372,0.08072530502874685,0.5,0.5,0.08072530502874685,0.2805372544923617,0.2805372544923617,-21567.143050863786,-21567.143050863786,0.0,1,1.0,43136.28610172757,43145.53607675631,0.07420873017872039,0.0,0.9192746949712531,0.5,0.0,0.0,0.0,1.0,0.0,0.9192746949712531,0.0,1.0,0.0,0.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0",7688,0.09748630357718337,0.07869406867845993,0.9748376751309447,15376,0.1985175636480825,0.08012486992715921,0.9925619964969619,0.08
