model,n_effective,n_parameters,log_likelihood,pseudo_r2_mcfadden_vs_null,aic,bic_llf,lr_stat_vs_previous,df_diff_vs_previous,lr_p_value_vs_previous,roc_auc,pr_auc,log_loss,brier_score,lift_at_10pct,top_10pct_default_rate
M0_null,307511,1,-86270.9206355414,0.0,172543.8412710828,172554.47753722075,,,,0.5,0.08072881945686496,0.280545803680328,0.07421167723382067,0.9925510625367786,0.08012747552925108
M1_profile,307511,23,-84167.40622927202,0.024382658615130115,168380.81245854404,168625.4465797168,4207.028812538774,22.0,0.0,0.6225985493966564,0.12023907332075166,0.2737053511232835,0.07315393581450517,1.8034298323770934,0.1455887613410946
M2_profile_affordability,307511,34,-83860.84012936521,0.027936186242381478,167789.68025873043,168151.3133074206,613.1321998136118,11.0,2.1723867746415863e-124,0.630042786433998,0.12645195194751896,0.27270842385919597,0.07298115544781206,1.9218592205206861,0.15514942603492568
M3_plus_credit_history,307511,50,-81988.82082068319,0.0496354945943871,164077.64164136638,164609.4549482637,3744.0386173640436,16.0,0.0,0.668993606569362,0.15673420565236967,0.2666207739582753,0.07186300098141238,2.370199047064288,0.19134337094728626
M4_plus_payment_behavior,307511,72,-81097.34536638025,0.05996893543094728,162338.6907327605,163104.50189469266,1782.9509086058824,22.0,0.0,0.6851018673201248,0.16889626703452906,0.2637217704939994,0.07133094407492817,2.5289105400186265,0.20415596240772657
M5_full_plus_high_burden_late_interaction,307511,73,-81097.07706186413,0.05997204545358459,162340.15412372825,163116.60155179835,0.5366090322495438,1.0,0.4638414609710829,0.6850991691349503,0.16891332542779447,0.26372089799019915,0.07133034902225374,2.530924645259164,0.20431855874605703
