transformed_feature,coef,abs_coef
num__CC_UTILIZATION_GT_1_MONTH_RATE,0.07738064257415193,0.07738064257415193
cat__EMERGENCYSTATE_MODE_Yes,-0.07688427593364842,0.07688427593364842
num__CC_CREDIT_LIMIT_MEAN,-0.07418049581639177,0.07418049581639177
num__INST_PAYMENT_RATIO_MIN,-0.07410852423490204,0.07410852423490204
cat__WALLSMATERIAL_MODE_Block,-0.07251984415235187,0.07251984415235187
cat__FONDKAPREMONT_MODE_reg oper account,-0.07179432889536408,0.07179432889536408
num__CC_SK_DPD_MEAN,0.07178776555982402,0.07178776555982402
num__APP_PROPERTY_MISSING_RATIO,0.07054257406071333,0.07054257406071333
num__APP_PROPERTY_MISSING_COUNT,0.07054257406071186,0.07054257406071186
num__BUREAU_ACTIVE_RATE,-0.06918169679688148,0.06918169679688148
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.06897260102433997,0.06897260102433997
cat__ORGANIZATION_TYPE_Bank,-0.06826131290064974,0.06826131290064974
cat__ORGANIZATION_TYPE_Security Ministries,-0.06693890574062641,0.06693890574062641
cat__NAME_TYPE_SUITE_Missing,-0.06649943263130086,0.06649943263130086
cat__ORGANIZATION_TYPE_Government,-0.06627975088590772,0.06627975088590772
num__PREV_ZERO_CREDIT_COUNT,0.06624350540771624,0.06624350540771624
num__DAYS_EMPLOYED,0.06468371240562887,0.06468371240562887
num__APP_EMPLOYED_YEARS,-0.0646837124056248,0.0646837124056248
num__BUREAU_ENDDATE_FUTURE_COUNT,0.06432118181422372,0.06432118181422372
num__FLAG_DOCUMENT_8,0.06356715614290805,0.06356715614290805
num__CC_DPD_MONTH_COUNT,-0.06251039039121796,0.06251039039121796
num__AMT_CREDIT,0.06113939638724416,0.06113939638724416
num__FLAG_WORK_PHONE,0.06072481607632464,0.06072481607632464
num__BUREAU_DAYS_CREDIT_RECENT,-0.060308199076591656,0.060308199076591656
num__CC_DRAWINGS_CURRENT_MEAN,0.06012759943439645,0.06012759943439645
cat__ORGANIZATION_TYPE_Medicine,-0.05996849993249978,0.05996849993249978
cat__WEEKDAY_APPR_PROCESS_START_THURSDAY,-0.059582014618852076,0.059582014618852076
cat__FONDKAPREMONT_MODE_org spec account,-0.059356193141256765,0.059356193141256765
num__BB_MONTH_COUNT,-0.05911098749645748,0.05911098749645748
cat__OCCUPATION_TYPE_Medicine staff,-0.057691504260768536,0.057691504260768536
num__CC_SK_DPD_MAX,-0.05729376713509749,0.05729376713509749
cat__HOUSETYPE_MODE_terraced house,-0.05661017960526753,0.05661017960526753
num__REG_CITY_NOT_LIVE_CITY,0.056469836930814324,0.056469836930814324
cat__ORGANIZATION_TYPE_Kindergarten,-0.055494866614279874,0.055494866614279874
cat__CODE_GENDER_M,-0.05489537866741387,0.05489537866741387
num__CC_AMT_BALANCE_MAX,0.05390656041988877,0.05390656041988877
num__PREV_AMT_CREDIT_SUM,0.05374050961101502,0.05374050961101502
num__PREV_AMT_CREDIT_MAX,0.053059207366719145,0.053059207366719145
cat__ORGANIZATION_TYPE_Trade: type 7,0.0528819772703968,0.0528819772703968
cat__NAME_INCOME_TYPE_Working,-0.05279428858076749,0.05279428858076749
cat__ORGANIZATION_TYPE_Industry: type 3,0.05237517927075806,0.05237517927075806
cat__FONDKAPREMONT_MODE_not specified,-0.05193050370748593,0.05193050370748593
num__APP_CHILDREN_RATIO,0.051046260009078095,0.051046260009078095
cat__ORGANIZATION_TYPE_Other,-0.05072353146862448,0.05072353146862448
num__PREV_DAYS_DECISION_MEAN,0.05018601278771999,0.05018601278771999
num__INST_AMT_PAYMENT_MEAN,-0.050035523091770354,0.050035523091770354
num__INST_LATE_PAYMENT_COUNT,0.04910807286279847,0.04910807286279847
cat__WALLSMATERIAL_MODE_Wooden,-0.048608499467178656,0.048608499467178656
cat__OCCUPATION_TYPE_Private service staff,-0.04794995293585016,0.04794995293585016
num__BUREAU_AMT_CREDIT_SUM_SUM,0.047593524780260237,0.047593524780260237
num__BUREAU_DAYS_CREDIT_OLDEST,0.0473229219022176,0.0473229219022176
cat__NAME_FAMILY_STATUS_Civil marriage,-0.046913479959861275,0.046913479959861275
cat__ORGANIZATION_TYPE_Trade: type 3,0.04620810567917374,0.04620810567917374
num__CNT_CHILDREN,-0.045998585953319904,0.045998585953319904
num__HAS_CREDIT_CARD_HISTORY,-0.045989743356370544,0.045989743356370544
num__NONLIVINGAPARTMENTS_MODE,0.04562569186902479,0.04562569186902479
num__FLAG_DOCUMENT_13,-0.04511562143974971,0.04511562143974971
num__CC_CREDIT_LIMIT_MAX,0.04393819860490292,0.04393819860490292
num__NONLIVINGAREA_MODE,-0.04271328190293329,0.04271328190293329
num__HAS_POS_CASH_HISTORY,-0.04226084315485557,0.04226084315485557
num__BB_MONTHS_BALANCE_MIN,-0.042200616861872084,0.042200616861872084
num__FLAG_DOCUMENT_18,-0.04207932376871731,0.04207932376871731
cat__NAME_HOUSING_TYPE_Rented apartment,-0.041856651121585584,0.041856651121585584
num__FLAG_DOCUMENT_16,-0.04162867531004196,0.04162867531004196
num__PREV_DAYS_TERMINATION_365243_FLAG_COUNT,-0.041236873827383065,0.041236873827383065
cat__NAME_HOUSING_TYPE_Municipal apartment,-0.040261072403555816,0.040261072403555816
num__FLAG_DOCUMENT_5,0.04019291768060499,0.04019291768060499
num__CC_TOTAL_RECEIVABLE_MAX,0.039517880793925944,0.039517880793925944
num__POS_SK_DPD_MAX,0.03885078639499886,0.03885078639499886
cat__NAME_FAMILY_STATUS_Separated,-0.038707277179885195,0.038707277179885195
num__REG_CITY_NOT_WORK_CITY,-0.03766626071543948,0.03766626071543948
num__DEF_30_CNT_SOCIAL_CIRCLE,0.037388995129518744,0.037388995129518744
num__POS_PREV_COUNT,-0.03702801123321035,0.03702801123321035
num__POS_ACTIVE_MONTH_COUNT,-0.037003708996979155,0.037003708996979155
num__CC_MONTHS_BALANCE_OLDEST,-0.03683876828119897,0.03683876828119897
cat__ORGANIZATION_TYPE_Hotel,-0.03663161189921004,0.03663161189921004
cat__NAME_FAMILY_STATUS_Single / not married,-0.035716238062717655,0.035716238062717655
cat__WEEKDAY_APPR_PROCESS_START_TUESDAY,-0.03564598461757587,0.03564598461757587
num__LANDAREA_AVG,0.03558612822041888,0.03558612822041888
cat__WALLSMATERIAL_MODE_Monolithic,-0.03516750302614942,0.03516750302614942
cat__OCCUPATION_TYPE_Sales staff,-0.035017756096212944,0.035017756096212944
num__CNT_FAM_MEMBERS,0.03477401211428741,0.03477401211428741
num__OWN_CAR_AGE,0.03424349391688062,0.03424349391688062
num__CC_PAYMENT_CURRENT_MEAN,-0.0338880548252102,0.0338880548252102
cat__OCCUPATION_TYPE_Managers,-0.03376733215213675,0.03376733215213675
num__PREV_DAYS_FIRST_DRAWING_365243_FLAG_COUNT,-0.0337341162968995,0.0337341162968995
cat__NAME_TYPE_SUITE_Other_A,-0.03348910327012737,0.03348910327012737
cat__ORGANIZATION_TYPE_Business Entity Type 1,-0.0334672632321625,0.0334672632321625
cat__ORGANIZATION_TYPE_Restaurant,0.03316703454842177,0.03316703454842177
cat__NAME_EDUCATION_TYPE_Lower secondary,0.03253295253355463,0.03253295253355463
num__AMT_INCOME_TOTAL,0.032517937914502616,0.032517937914502616
cat__WEEKDAY_APPR_PROCESS_START_FRIDAY,-0.03203486036617727,0.03203486036617727
num__POS_DPD_DEF_MONTH_RATE,0.03201324128692639,0.03201324128692639
num__POS_SK_DPD_MEAN,0.03180326651927725,0.03180326651927725
num__INST_UNDERPAYMENT_COUNT,-0.0316967278922242,0.0316967278922242
num__FLAG_PHONE,-0.03158514961950194,0.03158514961950194
num__PREV_AMT_APPLICATION_MEAN,-0.03129181099503149,0.03129181099503149
num__FLAG_DOCUMENT_4,-0.030891765208005472,0.030891765208005472
cat__NAME_TYPE_SUITE_Children,-0.030828026221759834,0.030828026221759834
num__PREV_AMT_CREDIT_MEAN,0.02967094490960091,0.02967094490960091
num__REGION_RATING_CLIENT,-0.02963744686212428,0.02963744686212428
num__BASEMENTAREA_MEDI,0.02954556386419452,0.02954556386419452
num__DEF_60_CNT_SOCIAL_CIRCLE,0.029454665944274608,0.029454665944274608
num__BASEMENTAREA_AVG,-0.028918884179991014,0.028918884179991014
num__PREV_DAYS_LAST_DUE_1ST_VERSION_365243_FLAG_COUNT,0.02857785913041698,0.02857785913041698
num__LIVE_CITY_NOT_WORK_CITY,0.02828518538790246,0.02828518538790246
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.02827709517584455,0.02827709517584455
num__FLAG_DOCUMENT_15,-0.028090031955567148,0.028090031955567148
num__PREV_DAYS_FIRST_DUE_365243_FLAG_COUNT,0.027908731513098077,0.027908731513098077
num__POS_DPD_MONTH_RATE,-0.0278488273619691,0.0278488273619691
num__CC_ACTIVE_MONTH_COUNT,0.027709394859099786,0.027709394859099786
num__LIVE_REGION_NOT_WORK_REGION,-0.02757211936977654,0.02757211936977654
num__FLAG_DOCUMENT_14,-0.027477200326372634,0.027477200326372634
num__REG_REGION_NOT_LIVE_REGION,-0.02747709555192067,0.02747709555192067
num__PREV_CANCELED_RATE,-0.027112783905752263,0.027112783905752263
num__PREV_APPROVED_COUNT,-0.026891826787781035,0.026891826787781035
num__APP_INCOME_PER_PERSON,0.026848452334028317,0.026848452334028317
num__INST_PAYMENT_MISSING_COUNT,0.026642044414785526,0.026642044414785526
num__BB_OVERDUE_MONTH_RATE,0.026084362363473033,0.026084362363473033
cat__ORGANIZATION_TYPE_Industry: type 1,0.025876108141242946,0.025876108141242946
cat__OCCUPATION_TYPE_Cleaning staff,-0.025794543153905617,0.025794543153905617
num__CC_MONTH_COUNT,0.02567327300746019,0.02567327300746019
