model_spec,description,n_rows_used,event_count,event_rate,feature_count,formula,converged,log_likelihood,null_log_likelihood,aic,bic,lr_chi2,lr_df,lr_p_value,mcfadden_pseudo_r2,cox_snell_pseudo_r2,nagelkerke_pseudo_r2,parameter_count,error
01_glm_profile_only,Research GLM: customer profile only,120000,9687,0.080725,4,"TARGET ~ C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50')) + C(DIAG_NAME_CONTRACT_TYPE, Treatment(reference='Cash loans')) + C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working')) + C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))",True,-32859.37533559466,-33664.38148216027,65746.75067118932,65882.48412949403,1610.0122931312217,13,0.0,0.023912696776924536,0.013327165440977229,0.031036459984880346,14,
02_glm_affordability_only,Research GLM: affordability only,120000,9687,0.080725,2,"TARGET ~ C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x')) + C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))",True,-33581.15722185429,-33664.38148216027,67184.31444370859,67290.962160948,166.44852061195706,10,1.5068625362198431e-30,0.0024721755351447827,0.00138610946673845,0.003227988066150791,11,
03_glm_credit_history_only,Research GLM: credit history only,120000,9687,0.080725,2,"TARGET ~ C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt')) + C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal'))",True,-32921.85692181066,-33664.38148216027,65863.71384362131,65960.66631383896,1485.0491206992301,9,0.0,0.022056682097162605,0.012299148870003496,0.02864240287572806,10,
04_glm_payment_behavior_only,Research GLM: payment behavior only,120000,9687,0.080725,2,"TARGET ~ C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment')) + C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))",True,-33168.3907070342,-33664.38148216027,66358.7814140684,66465.42913130781,991.9815502521378,10,9.980123940409904e-207,0.014733399316690488,0.008232439255618229,0.019171801585755512,11,
05_glm_controlled_core,Research GLM: controlled core model,120000,9687,0.080725,10,"TARGET ~ C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50')) + C(DIAG_NAME_CONTRACT_TYPE, Treatment(reference='Cash loans')) + C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working')) + C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special')) + C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x')) + C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%')) + C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt')) + C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal')) + C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment')) + C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))",True,-31875.66676114611,-33664.38148216027,63837.33352229222,64254.22914422808,3577.429442028326,42,0.0,0.053133746775120616,0.029371920141535446,0.06840167387349713,43,
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,120000,9687,0.080725,11,"TARGET ~ C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50')) + C(DIAG_NAME_CONTRACT_TYPE, Treatment(reference='Cash loans')) + C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working')) + C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special')) + C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x')) + C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%')) + C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt')) + C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal')) + C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment')) + C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history')) + C(DIAG_UNDERPAYMENT_GROUP, Treatment(reference='No underpayment'))",False,,-33664.38148216027,,,,46,,,,,47,
